,Temperature at 2 Meters,Specific Humidity at 2 Meters,Clear Sky Insolation Clearness Index,All Sky Surface Shortwave Downward Irradiance,Longitude,Latitude,Is Power Plant?
Gen. Santos City,25.428,17.358,0.7,5.29,125.1742,6.1191,FALSE
Guinobatan Albay,26.846,18.582,0.7,4.95,123.5937,13.1949,FALSE
Guiuan Eastern Samar,28.044,19.19,0.7,5.032,125.7324,11.0449,FALSE
Hacienda Baltao Talavera Toledo Cebu,27.316,18.762,0.7,5.126,123.6743,10.4151,TRUE
Hacienda Luisita Tarlac,26.928,17.626,0.698,5.17,120.6295,15.442,FALSE
Hermosa Bataan,26.71,17.762,0.686,5.204,120.5075,14.8303,TRUE
Hinatuan Surigao del Sur,27.166,18.616,0.692,5.064,126.3118,8.3803,FALSE
Indang Cavite,27.554,18.762,0.686,5.204,120.8785,14.1952,FALSE
Infanta Quezon,27.63,19.018,0.692,4.698,121.6433,14.739,FALSE
Jaro Iloilo,27.814,18.97,0.692,5.29,122.5674,10.7144,FALSE
Juban Sorsogon,26.846,18.582,0.698,5.19,123.9913,12.8453,FALSE
Kabacan Cotabato,25.458,17.274,0.7,5.184,124.8222,7.1085,FALSE
Kiamba Sarangani,26.864,18.068,0.7,5.47,124.6231,5.9951,FALSE
La Carlota City Negros Occidental,25.424,17.848,0.692,5.29,122.9204,10.4234,TRUE
La Trinidad Benguet,23.27,16.188,0.7,5.224,120.5871,16.4614,FALSE
Lal-lo Cagayan,26.228,17.47,0.69,4.856,121.6752,18.1239,FALSE
Laoag  Ilocos Norte,26.416,17.234,0.688,5.216,120.5958,18.1989,FALSE
Legazpi,26.846,18.582,0.7,4.95,123.7329,13.1379,FALSE
Lian Batangas,27.554,18.762,0.686,5.204,120.654,14.0361,TRUE
Lipa Batangas,26.21,18.2,0.692,5.07,121.1655,13.9573,FALSE
Maasim Sarangani,25.428,17.358,0.7,5.47,124.9951,5.8625,FALSE
Maasin Southern Leyte,27.852,19.08,0.696,5.218,124.8472,10.133,FALSE
Mabini Batangas,27.262,18.606,0.69,5.214,120.9328,13.7306,FALSE
Mactan Cebu,27.316,18.762,0.696,5.218,124.0027,10.3065,FALSE
"Maddela, Quirino",25.206,17.336,0.7,4.898,121.686,16.3437,FALSE
Malaybalay Bukidnon,21.966,15.77,0.7,4.994,125.1299,8.1524,FALSE
Mambajao Camiguin,26.556,18.224,0.69,5.32,124.7277,9.2459,FALSE
Manapla Negros Occidental,27.122,18.774,0.7,5.126,123.1574,10.9455,TRUE
Marawi Lanao del Norte,23.236,16.222,0.7,5.184,124.2907,7.9979,FALSE
Miag-ao Iloilo,27.814,18.97,0.692,5.29,122.2437,10.6437,TRUE
Milagros Masbate,27.508,19.07,0.698,5.19,123.4417,12.2807,FALSE
Morong Bataan,26.71,17.762,0.686,5.204,120.3429,14.8317,TRUE
Mt. Sta. Rita Subic Bay Freeport Zone,26.71,17.762,0.686,5.204,120.3647,14.8225,TRUE
Munoz Nueva Ecija,26.928,17.626,0.698,5.17,120.9046,15.7096,FALSE
Odiongan Romblon,28.162,19.144,0.69,5.264,122.0228,12.4357,TRUE
Ormoc Leyte,28.032,18.958,0.7,5.134,124.6342,11.087,TRUE
Ozamis Misamis Occidental,25.896,17.872,0.694,5.116,123.8267,8.1345,FALSE
Palanan Isabela,26.684,18.226,0.69,4.706,122.3961,17.0162,FALSE
Palauig Zambales,26.078,17.42,0.69,5.418,119.9852,15.4413,TRUE
Palo Leyte,26.85,18.47,0.7,5.134,124.8533,11.3507,TRUE
Pili Camarines Sur,27.414,18.468,0.7,4.95,123.2612,13.5836,FALSE
Polillio Quezon,27.63,19.018,0.692,4.698,121.98,14.7434,FALSE
Prince Balagtas Extension Clark Special Econo,26.71,17.762,0.698,5.17,120.5587,15.2293,TRUE
Puerto Galera Mindoro Orienta,27.71,18.714,0.69,5.214,120.955,13.4992,FALSE
Puerto Princesa City Palawan,28.088,18.568,0.69,5.29,118.8739,10.1528,TRUE
Puerto Princesa Palawan,28.104,18.846,0.692,5.134,118.7415,9.7419,FALSE
Quezon City Metro Manila,26.01,17.97,0.692,4.698,121.0701,14.7198,TRUE
Rizal Palawan,28.192,18.654,0.69,5.112,117.5208,8.8919,FALSE
Romblon,27.922,19.006,0.69,5.264,122.2611,12.5731,FALSE
Romblon Romblon,27.922,19.006,0.69,5.264,122.2299,12.6638,TRUE
San Carlos City Negros Occidental,25.424,17.848,0.7,5.126,123.426,10.5145,TRUE
San Enrique Iloilo,26.222,18.162,0.696,4.964,122.6746,11.0745,FALSE
San Ildefonso Bulacan,25.524,17.786,0.7,4.85,121.0305,15.0075,TRUE
San Jacinto Ticao Island,27.508,19.07,0.698,5.19,123.7221,12.5862,FALSE
San Jose Occidental Mindoro,26.482,18.296,0.696,5.172,121.0654,12.3528,FALSE
San Marcelino Zambales,27.734,18.334,0.686,5.204,120.155,14.9713,FALSE
San Rafael Bulacan,26.71,17.762,0.686,5.204,120.4743,14.8964,TRUE
Sarrat Ilocos Norte,26.416,17.234,0.688,5.216,120.677,18.1371,TRUE
Science Garden Quezon City,26.01,17.97,0.692,4.698,121.0403,14.647,FALSE
Silay City Negros Occidental,27.122,18.774,0.7,5.126,123.0025,10.8138,TRUE
Simunul Tawi Tawi,28.12,18.98,0.692,5.44,119.7914,4.9149,FALSE
Sinait Ilocos Sur,26.416,17.234,0.7,5.36,120.4575,17.8662,FALSE
Sindangan Zamboanga del Norte,25.396,17.528,0.694,5.116,123.0005,8.2442,FALSE
Sorsogon Sorsogon,26.846,18.582,0.698,5.19,123.9972,12.9843,FALSE
Sta Ana Cagayan,27.216,18.298,0.688,4.892,122.1418,18.46,FALSE
Sta Cruz Mindoro Occidental,27.318,18.42,0.69,5.214,120.7226,13.0736,FALSE
Taal Batangas,26.21,18.2,0.69,5.214,120.9532,13.8827,FALSE
Tabaco,27.184,18.666,0.7,4.95,123.7,13.3568,FALSE
Tacloban Leyte,26.85,18.47,0.7,5.134,124.9643,11.2698,FALSE
Tagaytay,26.21,18.2,0.686,5.204,120.9386,14.0993,FALSE
Tagum Davao del Norte,26.23,17.896,0.7,5.148,125.8055,7.4496,FALSE
Talakag Bukidnon,23.236,16.222,0.7,5.216,124.6022,8.2324,FALSE
Talisayan Misamis Oriental,26.556,18.224,0.7,5.216,124.8829,8.9948,FALSE
Tantangan South Cotabato,25.596,17.116,0.7,5.154,124.7479,6.6213,FALSE
Tarlac City Tarlac,26.928,17.626,0.698,5.17,120.643,15.4575,TRUE
Tayabas Quezon,27.386,18.896,0.692,4.698,121.5912,14.0276,FALSE
Tuguegarao Cagayan,25.496,17.112,0.7,4.886,121.7584,17.6477,FALSE
UP Los Banos Laguna,26.21,18.2,0.692,4.698,121.2359,14.1545,FALSE
Valencia Bukidnon,21.966,15.77,0.7,5.148,125.0938,7.9062,FALSE
Virac,27.624,19.004,0.698,5.142,124.2128,13.5798,FALSE
Zamboanga City,27.804,18.702,0.68,5.312,122.0725,6.9231,FALSE
